TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
74, 0.000000, 0.090758, 0.037972, -0.038977, 0.000000, 0.012767, 0.001664, -0.003328, 0.000099, 0.000018, 0.001706, -0.003413, 0.000000, 0.099267, -0.000079
75, 0.000000, 0.098658, 0.037525, -0.039156, 0.000000, 0.012634, 0.001628, -0.003257, 0.000099, 0.000017, 0.001689, -0.003379, 0.000000, 0.106460, -0.000077
76, 0.000000, 0.106980, 0.037109, -0.039191, 0.000000, 0.012573, 0.001596, -0.003193, 0.000099, 0.000017, 0.001682, -0.003364, 0.000000, 0.114310, -0.000074
77, 0.000000, 0.115646, 0.036728, -0.039056, 0.000000, 0.012596, 0.001569, -0.003138, 0.000099, 0.000017, 0.001686, -0.003372, 0.000000, 0.122776, -0.000069
78, 0.000000, 0.124551, 0.036385, -0.038727, 0.000000, 0.012710, 0.001547, -0.003094, 0.000099, 0.000017, 0.001701, -0.003403, 0.000000, 0.131786, -0.000062
79, 0.000000, 0.133557, 0.036084, -0.038180, 0.000000, 0.012923, 0.001530, -0.003061, 0.000099, 0.000017, 0.001730, -0.003459, 0.000000, 0.141239, -0.000054
80, 0.000000, 0.142500, 0.035828, -0.037393, 0.000000, 0.013241, 0.001520, -0.003040, 0.000099, 0.000017, 0.001771, -0.003543, 0.000000, 0.151001, -0.000045
81, 0.000000, 0.151188, 0.035622, -0.036343, 0.000000, 0.013666, 0.001517, -0.003034, 0.000099, 0.000017, 0.001827, -0.003654, 0.000000, 0.160905, -0.000035
82, 0.000000, 0.159413, 0.035468, -0.035015, 0.000000, 0.014192, 0.001521, -0.003043, 0.000099, 0.000017, 0.001896, -0.003792, 0.000000, 0.170756, -0.000025
83, 0.000000, 0.166958, 0.035369, -0.033395, 0.000000, 0.014806, 0.001534, -0.003068, 0.000099, 0.000017, 0.001978, -0.003957, 0.000000, 0.180341, -0.000016
84, 0.000000, 0.173604, 0.035326, -0.031475, 0.000000, 0.015492, 0.001555, -0.003110, 0.000099, 0.000017, 0.002073, -0.004146, 0.000000, 0.189435, -0.000007
85, 0.000000, 0.179138, 0.035341, -0.029255, 0.000000, 0.016238, 0.001585, -0.003171, 0.000099, 0.000017, 0.002179, -0.004358, 0.000000, 0.197815, 0.000001
86, 0.000000, 0.183372, 0.035414, -0.026741, 0.000000, 0.017035, 0.001626, -0.003251, 0.000099, 0.000017, 0.002295, -0.004590, 0.000000, 0.205276, 0.000008
87, 0.000000, 0.186156, 0.035544, -0.023948, 0.000000, 0.017871, 0.001676, -0.003352, 0.000099, 0.000018, 0.002421, -0.004841, 0.000000, 0.211644, 0.000016
88, 0.000000, 0.187394, 0.035730, -0.020897, 0.000000, 0.018731, 0.001737, -0.003473, 0.000099, 0.000018, 0.002555, -0.005109, 0.000000, 0.216785, 0.000022
89, 0.000000, 0.187050, 0.035969, -0.017618, 0.000000, 0.019605, 0.001808, -0.003616, 0.000099, 0.000018, 0.002696, -0.005392, 0.000000, 0.220620, 0.000028
90, 0.000000, 0.185147, 0.036258, -0.014148, 0.000000, 0.020487, 0.001890, -0.003780, 0.000099, 0.000018, 0.002844, -0.005688, 0.000000, 0.223127, 0.000032
91, 0.000000, 0.181769, 0.036592, -0.010530, 0.000000, 0.021371, 0.001983, -0.003966, 0.000100, 0.000019, 0.002998, -0.005997, 0.000000, 0.224339, 0.000035
92, 0.000000, 0.177056, 0.036968, -0.006812, 0.000000, 0.022257, 0.002086, -0.004172, 0.000100, 0.000019, 0.003158, -0.006316, 0.000000, 0.224344, 0.000035
93, 0.000000, 0.171192, 0.037379, -0.003045, 0.000000, 0.023148, 0.002199, -0.004398, 0.000100, 0.000019, 0.003322, -0.006644, 0.000000, 0.223272, 0.000034
94, 0.000000, 0.164389, 0.037820, 0.000720, 0.000000, 0.024047, 0.002322, -0.004643, 0.000100, 0.000020, 0.003491, -0.006982, 0.000000, 0.221284, 0.000032
95, 0.000000, 0.156885, 0.038286, 0.004430, 0.000000, 0.024954, 0.002453, -0.004905, 0.000100, 0.000020, 0.003663, -0.007327, 0.000000, 0.218559, 0.000029
96, 0.000000, 0.148912, 0.038772, 0.008033, 0.000000, 0.025871, 0.002591, -0.005183, 0.000100, 0.000021, 0.003839, -0.007679, 0.000000, 0.215279, 0.000026
97, 0.000000, 0.140687, 0.039272, 0.011483, 0.000000, 0.026812, 0.002737, -0.005473, 0.000101, 0.000021, 0.004018, -0.008036, 0.000000, 0.211621, 0.000025
98, 0.000000, 0.132414, 0.039781, 0.014733, 0.000000, 0.027781, 0.002888, -0.005776, 0.000101, 0.000021, 0.004199, -0.008399, 0.000000, 0.207745, 0.000025
99, 0.000000, 0.124278, 0.040295, 0.017744, 0.000000, 0.028775, 0.003043, -0.006087, 0.000101, 0.000022, 0.004382, -0.008764, 0.000000, 0.203789, 0.000025
100, 0.000000, 0.116438, 0.040811, 0.020479, 0.000000, 0.029785, 0.003202, -0.006404, 0.000101, 0.000022, 0.004565, -0.009130, 0.000000, 0.199869, 0.000026
101, 0.000000, 0.109024, 0.041325, 0.022908, 0.000000, 0.030803, 0.003363, -0.006726, 0.000101, 0.000022, 0.004747, -0.009494, 0.000000, 0.196073, 0.000027
102, 0.000000, 0.102131, 0.041834, 0.025005, 0.000000, 0.031825, 0.003525, -0.007050, 0.000101, 0.000023, 0.004927, -0.009853, 0.000000, 0.192468, 0.000028
